Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T03:00+01:00;2025-01-06T04:00+01:00;2025-01-06;03:00;04:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T04:00+01:00;2025-01-06T05:00+01:00;2025-01-06;04:00;05:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T05:00+01:00;2025-01-06T06:00+01:00;2025-01-06;05:00;06:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T06:00+01:00;2025-01-06T07:00+01:00;2025-01-06;06:00;07:00;1;8
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T07:00+01:00;2025-01-06T08:00+01:00;2025-01-06;07:00;08:00;1;28
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T08:00+01:00;2025-01-06T09:00+01:00;2025-01-06;08:00;09:00;1;25
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T09:00+01:00;2025-01-06T10:00+01:00;2025-01-06;09:00;10:00;1;9
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T10:00+01:00;2025-01-06T11:00+01:00;2025-01-06;10:00;11:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T11:00+01:00;2025-01-06T12:00+01:00;2025-01-06;11:00;12:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T12:00+01:00;2025-01-06T13:00+01:00;2025-01-06;12:00;13:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T13:00+01:00;2025-01-06T14:00+01:00;2025-01-06;13:00;14:00;1;3
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T14:00+01:00;2025-01-06T15:00+01:00;2025-01-06;14:00;15:00;1;8
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T15:00+01:00;2025-01-06T16:00+01:00;2025-01-06;15:00;16:00;1;25
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T16:00+01:00;2025-01-06T17:00+01:00;2025-01-06;16:00;17:00;1;61
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T17:00+01:00;2025-01-06T18:00+01:00;2025-01-06;17:00;18:00;1;19
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T18:00+01:00;2025-01-06T19:00+01:00;2025-01-06;18:00;19:00;1;7
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T19:00+01:00;2025-01-06T20:00+01:00;2025-01-06;19:00;20:00;1;4
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T20:00+01:00;2025-01-06T21:00+01:00;2025-01-06;20:00;21:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T21:00+01:00;2025-01-06T22:00+01:00;2025-01-06;21:00;22:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T22:00+01:00;2025-01-06T23:00+01:00;2025-01-06;22:00;23:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T23:00+01:00;2025-01-07T00:00+01:00;2025-01-06;23:00;00:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T00:00+01:00;2025-01-07T01:00+01:00;2025-01-07;00:00;01:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T01:00+01:00;2025-01-07T02:00+01:00;2025-01-07;01:00;02:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T02:00+01:00;2025-01-07T03:00+01:00;2025-01-07;02:00;03:00;1;0
